大受好評,高興
關了,其他（負）
明確,其他（正）
追隨,其他（正）
人鬼殊途,其他（負）
喇賽,其他（正）
解雇,其他（負）
被拒絕,難過
離世,害怕
派對,其他（正）
如何可以更好,其他（正）
爛貨,生氣
打小孩,生氣
摔到頭,害怕
想通了,其他（正）
要價,其他（正）
神邏輯,生氣
幹林良,生氣
毒誓,害怕
平安,高興
難以相信,生氣
吐血,害怕
令人痛苦,難過
迷迷糊糊,其他（負）
回不來,難過
把關,其他（正）
打屁哈啦,高興
血跡斑斑,生氣
第一,其他（正）
傳染,生氣
嗤之以鼻,生氣
慾火,高興
無法做到,其他（負）
緊繃,害怕
老鼠多,害怕
自殘,難過
已成定局,難過
看俏,其他（正）
冷嘲熱諷,其他（負）
意識模糊,生氣
抱著一絲希望,生氣
幫派,生氣
一直笑,高興
最痛,難過
不知去向,生氣
眼睜睜,其他（負）
滿心期待,高興
說來說去,其他（負）
看住,其他（負）
悲劇,難過
呆呆,害怕
見笑轉生氣,其他（負）
維持不久,害怕
苦頭,害怕
沒有能力,其他（負）
開車太急,害怕
厲害,其他（正）
晚了一步,害怕
死一死,生氣
猝不及防,害怕
經濟壓力,其他（負）
不知哪兒來,驚訝
遭遇,其他（負）
有功,其他（正）
看中,其他（正）
叫別人等,其他（負）
邁向,其他（正）
元神,害怕
其實我不愛你,難過
大刀闊斧,其他（正）
都沒有用,難過
不參與,其他（負）
蠻精采,其他（正）
削弱,其他（負）
能不能回來,難過
我所沒有的,其他（負）
命案,其他（負）
不要再打了,害怕
被壓,其他（負）
不太到,其他（負）
受限,其他（負）
潛藏,其他（負）
自相矛盾,難過
奄奄一息,害怕
鬧,其他（負）
不肯打拚,其他（負）
不屬於我,難過
達成協議,其他（正）
送我回家,其他（正）
過度,其他（負）
胖,其他（負）
誤會,其他（負）
遭遇到,其他（負）
去面對,其他（負）
一臉困擾,害怕
暗戀,高興
撒手不管,生氣
難辭其咎,難過
義無反顧,其他（正）
害自己,其他（負）
到底還要多久,生氣
太過認真,其他（負）
幹嘛,難過
承認犯行,其他（負）
鎖死,其他（負）
摸索,其他（負）
失戀,難過
謙虛,其他（正）
強暴,其他（負）
改進,其他（負）
闖過了紅燈,害怕
心頭肉,高興
凌晨兩、三點,害怕
臭,其他（負）
殘酷,難過
慌了手腳,生氣
惡質,難過
平安健康,其他（正）
年紀也大了,其他（負）
眼中風,生氣
責任感,高興
傻眼了,害怕
花海,其他（正）
冷冷的,其他（負）
毋須,其他（負）
賠他,其他（負）
罪惡感,其他（負）
抱住我,其他（正）
全都,難過
不想再看到你,生氣
除惡,難過
身心障礙人士,其他（負）
絡繹不絕,其他（正）
戒酒,其他（正）
躺在地上,其他（負）
驅除,害怕
遺言,害怕
流感併發重症,生氣
荷包失血,難過
跡象,其他（負）
不禁傷心落淚,害怕
搔頭,驚訝
亂丟,難過
在一起,高興
殺害,難過
氣頭,生氣
指使,其他（負）
注意,其他（負）
動搖,其他（負）
被刀劃傷,害怕
睡不好,其他（負）
蒼老,害怕
白衣女子,害怕
咪艇,其他（負）
毫不知情,驚訝
抒發,害怕
日新月異,其他（正）
扛下,其他（負）
肇事,其他（負）
印象很深刻,其他（正）
笑嘻嘻,高興
好好想一想,其他（負）
顛簸,其他（負）
小帥哥,高興
不行的話,其他（負）
不緊繃,其他（正）
夢幻逸品,高興
太辛苦,難過
誦經聲,難過
釐清起火原因,生氣
爆紅,高興
讚揚,其他（正）
用盡,害怕
緊緊抓著,害怕
偽店,生氣
麻瓜,其他（正）
所長,其他（正）
無薪假,其他（負）
無辜,難過
逆子,難過
侵吞,其他（負）
生存,其他（正）
做人好累,難過
奪門而出,害怕
現在怎麼辦,害怕
等死,其他（負）
嗤,生氣
希望你們能,其他（正）
很煩欸妳,生氣
到底是怎麼回事,生氣
惡作劇,生氣
來醫院,害怕
寒冬,害怕
丟掉,其他（負）
未依規定,生氣
讓自己後悔,難過
剛好,其他（正）
挑釁,生氣
不再出現,其他（負）
引起網友撻伐,難過
紅遍全台,高興
浮腫,其他（負）
漫漫長,其他（負）
盤查,其他（負）
秘密,其他（負）
癌,害怕
不好的事,其他（負）
倏然,驚訝
得小心,害怕
血腥味,害怕
怎麼會這樣,害怕
劈頭就,生氣
老花,生氣
精品,其他（正）
最有效率,其他（正）
警報,害怕
無生命危險,高興
自己的窩,其他（正）
骯髒,生氣
殺小,生氣
玩我,其他（負）
讓人分心,其他（負）
厭煩,生氣
迫害,難過
西西酥酥,害怕
不願忘記,難過
勇氣,其他（正）
弄傷,生氣
雖然如此,其他（正）
侵占,其他（負）
談不攏,其他（負）
老舊,其他（負）
咳得,害怕
超出負荷,生氣
昏昏欲睡,其他（負）
趕緊控制,生氣
滿屋子亂跑,害怕
我好希望,其他（負）
詫異,驚訝
利用,生氣
太感謝了,高興
亂跑,難過
改革,高興
住院期間,害怕
盯上,其他（負）
屁事,生氣
不當處置,難過
失效,害怕
寂寞,難過
翹課,其他（負）
讓你依靠,其他（正）
死查某,生氣
施暴,難過
牛步,難過
反正,生氣
幫忙祈福,高興
被刪除,難過
被詐騙,生氣
硬要幫,其他（負）
當場昏倒,生氣
快睡著,其他（負）
斷了傳承,難過
考量,其他（正）
撒花,高興
腦膜炎,生氣
性關係不協調,難過
還過得去,其他（正）
誰能教我,害怕
怎麼可以這樣,生氣
被掏空,難過
查出,其他（負）
不了了之,其他（負）
能夠認識你,高興
嚇了一跳,害怕
一定要過得很好,其他（正）
輾轉,害怕
五星級,其他（正）
難聞,其他（負）
予以尊重,高興
自滿,難過
紅色布條,難過
什麼是開心,難過
開玩笑,其他（正）
獻給,其他（正）
毫不手軟,其他（正）
胃痛,生氣
指責,難過
搞鬼,生氣
罵翻,生氣
像砂糖一樣甜,其他（正）
從來不曾,驚訝
幹0糧,生氣
超貴,生氣
說好,生氣
繼承,其他（正）
說再見,難過
麻煩,其他（負）
努力這麼久,其他（負）
經濟好轉,高興
