詞林,原本,C-LIWC,C-LIWC獨有，但是其他沒有的,詞林獨有，但其他沒有的,全部整合的（不重複）
高興,愛,,,,
開心,愛,,,,
愉快,愛,,,,
歡快,愛_1,,,,
稱快,快樂,,,,
快活,幸福,,,,
快樂,爽,,,,
歡樂,爽_1,,,,
歡娛,滿足,,,,
歡愉,喜愛,,,,
歡欣,喜歡,,,,
歡喜,愉快,,,,
喜歡,歡喜,,,,
欣喜,期待,,,,
欣然,嚮往,,,,
怡然,盼望,,,,
陶然,欣然,,,,
愉悅,欣然,,,,
融融,期望,,,,
樂意,期望,,,,
樂,著迷,,,,
歡,入迷,,,,
喜,想念,,,,
快,懷念,,,,
欣,想要,,,,
怡,心醉,,,,
樂陶陶,驚訝,,,,
樂滋滋,甜蜜,,,,
樂呵呵,高興,,,,
樂悠悠,快活,,,,
樂融融,狂喜,,,,
喜沖沖,開心,,,,
喜滋滋,雀躍,,,,
喜洋洋,喜出望外,,,,
喜氣洋洋,歡愉,,,,
興沖沖,暢快,,,,
甜絲絲,歡悅,,,,
美絲絲,心曠神怡,,,,
美滋滋,愉悅,,,,
歡欣鼓舞,歡暢,,,,
賞心悅目,開懷,,,,
如獲至寶,喜悅,,,,
僖,歡欣,,,,
高高興興,心花怒放,,,,
逸樂,驚喜,,,,
欣悅,欣喜,,,,
悅,甜美,,,,
欣欣然,爽快,,,,
快快樂樂,舒暢,,,,
歡歡喜喜,痛快,,,,
歡悅,快意,,,,
喜悅,豁朗,,,,
先睹為快,可喜,,,,
其樂融融,舒坦,,,,
撒歡,仰慕,,,,
暗喜,慶幸,,,,
為之一喜,眷戀,,,,
愷,入神,,,,
狂喜,好受,,,,
銷魂,期求,,,,
歡天喜地,無奈,,,,
欣喜若狂,悲傷,,,,
喜出望外,寂寞,,,,
大喜過望,失望,,,,
興高采烈,傷感,,,,
樂不可支,心痛,,,,
其樂無窮,惱怒,,,,
心花怒放,痛苦,,,,
不亦樂乎,辛酸,,,,
得意洋洋,哀愁,,,,
合不攏嘴,失落,,,,
驚喜萬分,煩憂,,,,
開顏,憂煩,,,,
喜形於色,哀傷,,,,
眉飛色舞,憂傷,,,,
春風滿面,憂愁,,,,
滿面春風,悲哀,,,,
喜上眉梢,哀戚,,,,
歡顏,悲痛,,,,
喜不自勝,哀痛,,,,
喜笑顏開,憂鬱,,,,
歡眉喜眼,憂鬱,,,,
興高彩烈,尷尬,,,,
歡騰,悻悻,,,,
歡躍,悵然,,,,
手舞足蹈,漠然,,,,
歡呼雀躍,羞愧,,,,
欣幸,愁悶,,,,
慶幸,煩悶,,,,
幸喜,惆悵,,,,
幸甚,苦悶,,,,
慶,懊惱,,,,
拍手稱快,苦澀,,,,
大快人心,寂寥,,,,
皆大歡喜,苦惱,,,,
喜從天降,哀思,,,,
額手稱慶,憂惱,,,,
和樂,憂悶,,,,
可賀,鬱卒,,,,
悲喜交集,愁悵,,,,
驚喜交集,心酸,,,,
又驚又喜,悲涼,,,,
轉悲為喜,落寞,,,,
驚喜,愁苦,,,,
大悲大喜,哀怨,,,,
悲喜,沮喪,,,,
喜怒哀樂,悲愁,,,,
悲傷,酸楚,,,,
傷悲,抑鬱,,,,
傷心,憂憤,,,,
傷感,悽楚,,,,
熬心,悲切,,,,
難過,傷痛,,,,
難受,悲情,,,,
悲,悲苦,,,,
哀,痛心,,,,
哀傷,沉鬱,,,,
悲哀,悲憤,,,,
悲慼,悲愴,,,,
悲愁,悽慘,,,,
哀愁,悲慟,,,,
哀戚,悲鬱,,,,
悲愴,鬱悶,,,,
憂傷,悲慘,,,,
淒然,沉痛,,,,
淒愴,絕望,,,,
淒惻,緊張,,,,
淒惶,緊張,,,,
殷殷,害怕,,,,
不是味兒,害怕,,,,
如喪考妣,擔心,,,,
淒風楚雨,擔憂,,,,
同悲,焦急,,,,
可悲,恐懼,,,,
不好過,憂心,,,,
悲痛,憂慮,,,,
哀痛,急切,,,,
沉痛,牽腸掛肚,,,,
痛,徬徨,,,,
痛心,心急,,,,
悲憤,慌張,,,,
痛切,著急,,,,
悲切,誠惶誠恐,,,,
斷腸,操心,,,,
肝腸寸斷,心有餘悸,,,,
黯然銷魂,煩惱,,,,
長歌當哭,受驚,,,,
椎心泣血,驚慌,,,,
痛定思痛,惶惶,,,,
人琴俱亡,惶惑,,,,
不堪回首,煩心,,,,
五內俱裂,心煩,,,,
悲痛欲絕,忐忑不安,,,,
痛不欲生,焦灼,,,,
萬箭穿心,心慌,,,,
欲哭無淚,發愁,,,,
悲慟,犯愁,,,,
悲傷欲絕,焦心,,,,
悲壯,膽戰心驚,,,,
叫苦連天,驚恐,,,,
痛苦,膽怯,,,,
痛,心焦,,,,
苦痛,焦慮,,,,
慘痛,畏怯,,,,
傷痛,心驚肉跳,,,,
慘然,畏懼,,,,
悲苦,心急如焚,,,,
心如刀割,如坐針氈,,,,
黯然神傷,心驚膽顫,,,,
纏綿悱惻,驚駭,,,,
切膚之痛,懼怕,,,,
睹物傷情,恐怖,,,,
辛酸,反感,,,,
酸辛,反感,,,,
心酸,生氣,,,,
酸溜溜,生氣_1,,,,
苦澀,討厭,,,,
寒心,浮躁,,,,
淒慘,躁急,,,,
淒楚,氣不過,,,,
淒切,焦躁,,,,
淒淒慘慘,憤慨,,,,
憂愁,嫌隙,,,,
發愁,厭煩,,,,
犯愁,嫉妒,,,,
憂,煩躁,,,,
愁,嫌怨,,,,
憂傷,敵視,,,,
悄然,氣惱,,,,
憂思,激憤,,,,
憂心忡忡,嫌憎,,,,
憂心如焚,嫌惡,,,,
心事重重,觸怒,,,,
愁眉不展,可惡,,,,
愁眉鎖眼,怨憤悵惘,,,,
愁腸百結,悔恨,,,,
鬱鬱寡歡,惱火,,,,
悲天憫人,躁鬱,,,,
愁思,厭惡,,,,
背包袱,氣憤,,,,
憂慮,忿怒,,,,
焦慮,憤怒,,,,
慮,震怒,,,,
憂患,盛怒,,,,
擔憂,憤恨,,,,
憂懼,痛恨,,,,
堪憂,可憎,,,,
令人堪憂,痛惡,,,,
令人擔憂,可恨,,,,
憂悶,怨恨,,,,
愁悶,憎惡,,,,
愁苦,狂悲,,,,
憂鬱,暴怒,,,,
抑鬱,憎恨,,,,
陰鬱,驚嚇,,,,
鬱結,思念,,,,
憂憤,傷心,,,,
悒悒,殷憂,,,,
怏怏,掛念,,,,
鬱鬱不樂,平靜,,,,
悶悶不樂,害羞,,,,
忽忽不樂,急躁,,,,
怏怏不樂,牽掛,,,,
氣悶,望穿秋水,,,,
憂困,平淡,,,,
抑鬱寡歡,貪戀,,,,
煩悶,意欲,,,,
煩心,恐慌,,,,
糟心,難過,,,,
煩亂,歡樂,,,,
煩躁,興高采烈,,,,
煩惱,不滿,,,,
煩擾,憤懣,,,,
憂悶,窩火,,,,
沉悶,恨之入骨,,,,
苦悶,義憤填膺,,,,
鬱悶,怒氣沖天,,,,
愁悶,難受,,,,
憋悶,消沉,,,,
悶氣,灰心喪氣,,,,
憋氣,悲淒,,,,
窩囊,悶悶不樂,,,,
不快,悲痛欲絕,,,,
憋,欲哭無淚,,,,
堵,提心吊膽,,,,
煩,疑懼,,,,
悶,不寒而慄,,,,
苦惱,望而生畏,,,,
抑鬱,大吃一驚,,,,
鬱悒,震驚,,,,
沉鬱,驚異,,,,
窩心,驚,,,,
憤懣,出乎意料,,,,
煩雜,驚嘆,,,,
坐臥不安,感覺,,,,
懣,感到,,,,
苦於,,,,,
懊惱,,,,,
悶悶地,,,,,
心煩,,,,,
心煩意躁,,,,,
煩憂,,,,,
窩火,,,,,
鬧心,,,,,
憤悶,,,,,
憋屈,,,,,
委屈,,,,,
憤怒,,,,,
惱怒,,,,,
含怒,,,,,
氣惱,,,,,
氣憤,,,,,
義憤,,,,,
激憤,,,,,
憤激,,,,,
憤慨,,,,,
憤然,,,,,
憤憤,,,,,
悻悻,,,,,
慍,,,,,
恚,,,,,
怒,,,,,
氣,,,,,
惱,,,,,
憤,,,,,
怒沖沖,,,,,
氣沖沖,,,,,
氣乎乎,,,,,
氣鼓鼓,,,,,
惱羞成怒,,,,,
怒氣沖沖,,,,,
怒氣攻心,,,,,
氣哼哼,,,,,
懣,,,,,
怒目橫眉,,,,,
忿,,,,,
慨,,,,,
